Item_2,Value,FamId,is_repeated
OBJECTS3,5,1,1
OBJECTS36,3,1,1
OBJECTS46,3,1,1
OBJECTS1,3,1,1
OBJECTS38,3,1,1
OBJECTS34,6,1,1
OBJECTS19,3,1,1
OBJECTS26,4,1,1
OBJECTS7,3,1,1
OBJECTS13,5,1,1
OBJECTS33,6,1,2
OBJECTS10,3,1,1
OBJECTS12,3,1,1
OBJECTS23,4,1,1
OBJECTS31,3,1,1
OBJECTS42,3,1,1
OBJECTS11,3,1,1
OBJECTS41,5,1,1
OBJECTS44,4,1,1
OBJECTS48,3,1,1
OBJECTS9,3,1,2
OBJECTS41,NA,1,2
OBJECTS44,NA,1,2
OBJECTS21,3,1,1
OBJECTS47,4,1,2
OBJECTS12,3,1,2
OBJECTS45,NA,1,2
OBJECTS40,5,1,1
OBJECTS24,6,1,1
OBJECTS15,3,1,2
OBJECTS40,NA,1,2
OBJECTS17,NA,1,2
OBJECTS18,4,1,2
OBJECTS30,3,1,1
OBJECTS5,NA,1,2
OBJECTS16,NA,1,2
OBJECTS8,NA,1,2
OBJECTS33,6,1,1
OBJECTS4,NA,1,2
OBJECTS36,3,1,2
OBJECTS37,NA,1,2
OBJECTS22,NA,1,2
OBJECTS14,NA,1,2
OBJECTS27,5,1,2
OBJECTS2,NA,1,2
OBJECTS6,4,1,1
OBJECTS46,NA,1,2
OBJECTS43,3,1,1
OBJECTS38,NA,1,2
OBJECTS9,3,1,1
OBJECTS19,NA,1,2
OBJECTS26,NA,1,2
OBJECTS22,3,1,1
OBJECTS13,NA,1,2
OBJECTS29,NA,1,2
OBJECTS3,6,1,2
OBJECTS39,4,1,2
OBJECTS15,3,1,1
OBJECTS31,NA,1,2
OBJECTS6,5,1,2
OBJECTS18,5,1,1
OBJECTS43,3,1,2
OBJECTS35,4,1,1
OBJECTS48,NA,1,2
OBJECTS35,NA,1,2
OBJECTS29,3,1,1
OBJECTS14,3,1,1
OBJECTS25,6,1,1
OBJECTS17,5,1,1
OBJECTS50,3,1,1
OBJECTS20,6,1,1
OBJECTS5,4,1,1
OBJECTS28,NA,1,2
OBJECTS20,NA,1,2
OBJECTS49,3,1,1
OBJECTS4,5,1,1
OBJECTS45,5,1,1
OBJECTS37,5,1,1
OBJECTS10,NA,1,2
OBJECTS7,NA,1,2
OBJECTS32,6,1,1
OBJECTS2,6,1,1
OBJECTS39,4,1,1
OBJECTS25,NA,1,2
OBJECTS23,NA,1,2
OBJECTS50,NA,1,2
OBJECTS34,NA,1,2
OBJECTS8,3,1,1
OBJECTS1,NA,1,2
OBJECTS42,NA,1,2
OBJECTS47,4,1,1
OBJECTS16,3,1,1
OBJECTS21,3,1,2
OBJECTS49,NA,1,2
OBJECTS32,NA,1,2
OBJECTS24,6,1,2
OBJECTS28,4,1,1
OBJECTS27,4,1,1
OBJECTS11,NA,1,2
OBJECTS30,3,1,2
OBJECTS11,4,10,1
OBJECTS30,5,10,2
OBJECTS37,2,10,1
OBJECTS10,4,10,1
OBJECTS49,NA,10,2
OBJECTS9,1,10,2
OBJECTS36,5,10,1
OBJECTS6,3,10,1
OBJECTS4,4,10,1
OBJECTS33,4,10,2
OBJECTS27,4,10,2
OBJECTS19,5,10,1
OBJECTS8,4,10,1
OBJECTS48,4,10,1
OBJECTS22,NA,10,2
OBJECTS29,5,10,1
OBJECTS45,NA,10,2
OBJECTS1,NA,10,2
OBJECTS47,6,10,1
OBJECTS43,4,10,1
OBJECTS13,3,10,1
OBJECTS12,5,10,1
OBJECTS43,5,10,2
OBJECTS35,4,10,1
OBJECTS46,4,10,1
OBJECTS9,3,10,1
OBJECTS20,NA,10,2
OBJECTS42,2,10,1
OBJECTS34,3,10,1
OBJECTS48,NA,10,2
OBJECTS3,2,10,2
OBJECTS16,3,10,1
OBJECTS22,5,10,1
OBJECTS50,2,10,1
OBJECTS36,5,10,2
OBJECTS39,3,10,1
OBJECTS41,6,10,1
OBJECTS49,3,10,1
