Item_2,Value,FamId,is_repeated
SCENES3,1,1,1
SCENES40,NA,1,2
SCENES39,2,1,2
SCENES50,NA,1,2
SCENES23,NA,1,2
SCENES42,NA,1,2
SCENES19,NA,1,2
SCENES15,4,1,2
SCENES43,2,1,2
SCENES42,6,1,1
SCENES19,1,1,1
SCENES9,3,1,1
SCENES35,NA,1,2
SCENES41,NA,1,2
SCENES31,NA,1,2
SCENES38,NA,1,2
SCENES7,NA,1,2
SCENES8,NA,1,2
SCENES2,NA,1,2
SCENES13,NA,1,2
SCENES26,NA,1,2
SCENES22,NA,1,2
SCENES37,NA,1,2
SCENES1,NA,1,2
SCENES34,NA,1,2
SCENES45,NA,1,2
SCENES20,NA,1,2
SCENES5,NA,1,2
SCENES17,NA,1,2
SCENES48,NA,1,2
SCENES11,NA,1,2
SCENES29,NA,1,2
SCENES32,NA,1,2
SCENES4,NA,1,2
SCENES46,NA,1,2
SCENES16,NA,1,2
SCENES44,NA,1,2
SCENES9,3,1,2
SCENES10,NA,1,2
SCENES49,NA,1,2
SCENES14,NA,1,2
SCENES44,5,1,1
SCENES28,NA,1,2
SCENES12,2,1,2
SCENES49,3,1,1
SCENES14,3,1,1
SCENES40,2,1,1
SCENES50,3,1,1
SCENES6,2,1,1
SCENES23,3,1,1
SCENES2,2,1,1
SCENES13,3,1,1
SCENES18,1,1,2
SCENES47,5,1,2
SCENES37,3,1,1
SCENES1,5,1,1
SCENES12,1,1,1
SCENES39,2,1,1
SCENES21,4,1,2
SCENES31,5,1,1
SCENES43,2,1,1
SCENES15,5,1,1
SCENES8,2,1,1
SCENES29,4,1,1
SCENES32,2,1,1
SCENES18,1,1,1
SCENES27,2,1,2
SCENES27,3,1,1
SCENES25,NA,1,2
SCENES34,4,1,1
SCENES3,1,1,2
SCENES20,2,1,1
SCENES30,4,1,2
SCENES17,3,1,1
SCENES48,2,1,1
SCENES24,1,1,1
SCENES6,2,1,2
SCENES11,2,1,1
SCENES36,1,1,2
SCENES46,3,1,1
SCENES36,1,1,1
SCENES16,5,1,1
SCENES25,3,1,1
SCENES10,5,1,1
SCENES35,2,1,1
SCENES30,4,1,1
SCENES5,5,1,1
SCENES33,1,1,1
SCENES7,3,1,1
SCENES22,1,1,1
SCENES41,1,1,1
SCENES24,2,1,2
SCENES26,1,1,1
SCENES45,1,1,1
SCENES33,2,1,2
SCENES47,5,1,1
SCENES38,1,1,1
SCENES28,4,1,1
SCENES4,5,1,1
SCENES21,4,1,1
SCENES22,NA,10,2
SCENES16,NA,10,2
SCENES38,NA,10,2
SCENES25,NA,10,2
SCENES45,NA,10,2
SCENES23,NA,10,2
SCENES50,6,10,1
SCENES37,6,10,1
SCENES38,1,10,1
SCENES28,NA,10,2
SCENES41,NA,10,2
SCENES9,6,10,2
SCENES35,3,10,1
SCENES41,4,10,1
SCENES34,5,10,1
SCENES40,NA,10,2
SCENES10,NA,10,2
SCENES5,NA,10,2
SCENES5,7,10,1
SCENES50,NA,10,2
SCENES8,NA,10,2
SCENES34,NA,10,2
SCENES49,NA,10,2
SCENES12,6,10,2
SCENES45,4,10,1
SCENES6,2,10,1
SCENES11,NA,10,2
SCENES17,NA,10,2
SCENES20,NA,10,2
SCENES22,1,10,1
SCENES4,6,10,1
SCENES37,NA,10,2
SCENES33,5,10,2
SCENES17,2,10,1
SCENES30,6,10,2
SCENES3,1,10,1
SCENES44,NA,10,2
SCENES35,NA,10,2
SCENES13,NA,10,2
SCENES46,6,10,1
SCENES6,2,10,2
SCENES16,7,10,1
SCENES43,5,10,2
SCENES23,3,10,1
SCENES4,NA,10,2
SCENES31,NA,10,2
SCENES24,3,10,2
SCENES1,NA,10,2
SCENES21,7,10,1
SCENES39,1,10,1
SCENES30,6,10,1
SCENES15,7,10,1
