Domain,Pairs,pairwise.r
faces,MZ,0.715
faces,DZ,0.684
faces,MZ,0.736
faces,DZ,0.569
faces,MZ,0.677
faces,DZ,0.665
faces,MZ,0.722
faces,MZ,0.779
faces,MZ,0.595
faces,MZ,0.756
faces,MZ,0.659
faces,MZ,0.463
faces,MZ,0.423
faces,MZ,0.699
faces,DZ,0.721
faces,MZ,0.684
faces,MZ,0.599
faces,DZ,0.595
faces,DZ,0.39
faces,MZ,0.378
faces,MZ,0.753
faces,MZ,0.552
faces,DZ,0.644
faces,DZ,0.784
faces,MZ,0.636
faces,MZ,0.571
faces,MZ,0.697
faces,MZ,0.597
faces,DZ,0.543
faces,MZ,0.541
faces,MZ,0.681
faces,MZ,0.715
faces,MZ,0.725
faces,MZ,0.789
faces,DZ,0.617
faces,MZ,0.466
faces,MZ,0.776
faces,MZ,0.431
faces,DZ,0.552
faces,MZ,0.713
faces,DZ,0.434
faces,DZ,0.72
faces,MZ,0.57
faces,MZ,0.592
faces,MZ,0.606
faces,MZ,0.637
faces,MZ,0.562
faces,DZ,0.637
faces,DZ,0.709
faces,MZ,0.8
faces,DZ,0.666
faces,DZ,0.647
faces,DZ,0.685
faces,MZ,0.613
faces,DZ,0.656
faces,DZ,0.625
faces,DZ,0.776
faces,MZ,0.497
faces,MZ,0.526
faces,MZ,0.744
faces,DZ,0.589
faces,DZ,0.675
faces,DZ,0.601
faces,MZ,0.709
faces,DZ,0.556
faces,MZ,0.738
faces,DZ,0.502
faces,MZ,0.619
faces,MZ,0.739
faces,DZ,0.606
faces,MZ,0.668
faces,MZ,0.697
faces,MZ,0.734
faces,MZ,-0.047
faces,MZ,0.643
faces,MZ,0.713
faces,MZ,0.743
faces,DZ,0.663
faces,MZ,0.556
faces,MZ,0.645
faces,MZ,0.725
faces,DZ,0.695
faces,MZ,0.468
faces,MZ,0.628
faces,MZ,0.714
faces,MZ,0.707
faces,DZ,0.598
faces,DZ,0.616
faces,MZ,0.645
faces,MZ,0.646
faces,MZ,0.513
faces,MZ,0.719
faces,MZ,0.851
faces,DZ,0.626
faces,MZ,0.617
faces,MZ,0.429
faces,DZ,0.427
faces,DZ,0.385
faces,MZ,0.613
faces,DZ,0.678
faces,MZ,0.69
faces,DZ,0.7
faces,MZ,0.719
faces,MZ,0.625
faces,MZ,0.74
faces,MZ,0.639
faces,MZ,0.697
faces,MZ,0.635
faces,MZ,0.73
