Sub,mm2_r,mm2_z
1_1,0.681765401958218,0.832405257336818
10_1,0.428882045913077,0.458525934259805
101_1,0.676946351663615,0.823455683650236
102_1,0.80253141166976,1.10568388523417
103_1,0.657435397182755,0.788283241981017
105_1,0.6760016224013,0.821713870346528
106_1,0.6081364692382,0.705958835850795
107_1,0.750893416146478,0.975000303837033
108_1,0.455487095006083,0.491602127028913
109_1,0.734344552487004,0.938092341208493
11_1,0.101052132891199,0.101398221585472
110_1,0.0105218517971433,0.0105222401121155
111_1,0.269508646617063,0.276333908807953
112_1,0.591656040843937,0.680210215959858
113_1,0.508006645522042,0.560039373080292
114_1,0.674851381295938,0.81959867330632
115_1,0.336712375557957,0.350379854212998
116_1,0.549218334268295,0.617261335707859
117_1,0.498777163942787,0.54767702291429
118_1,0.228325559115442,0.232422217237532
119_1,0.37711134247461,0.396687785620008
12_1,0.432252799882044,0.462663809368621
120_1,0.559421165157788,0.631990293662107
121_1,0.0792671147968336,0.0794337625454686
123_1,0.565358666379305,0.640674542969543
124_1,0.237941572830831,0.242591014251577
125_1,0.706662610219889,0.880485802516988
126_1,0.675506061997547,0.820801835132191
127_1,0.385308150853406,0.406278400764061
128_1,0.240407350076983,0.245206405067036
129_1,0.51380501146106194,0.567885940482256
130_1,0.725509600443279,0.919180710169358
131_1,0.742399724822016,0.955804765890553
132_1,0.369378406023527,0.387703103782503
133_1,0.588095723295841,0.674749967442885
134_1,0.667767897522786,0.806703797282978
135_1,0.440939440847184,0.473396383623565
136_1,0.498349168405531,0.547107451775289
137_1,0.534579360338595,0.59653499600521
138_1,0.777190983855418,1.03823716157456
139_1,0.509038182632816,0.561430700991139
14_1,0.603003138551746,0.697852867773668
140_1,0.567796329698696,0.64426468226344
141_1,0.428031602974275,0.457484266845287
142_1,0.428859045226688,0.458497749563839
143_1,0.726200198679514,0.920640333832654
144_1,0.637114451736461,0.75330149997811
145_1,0.622277003238287,0.728712442364099
146_1,0.649918224219709,0.775157116154114
147_1,0.511317569491734,0.564512129891045
148_1,0.459619700754089,0.496829026144187
149_1,0.652401664544727,0.779468729085406
15_1,0.649870839587887,0.775075084317698
150_1,0.709881757652887,0.886945463711373
151_1,0.678200145938694,0.825773687673333
152_1,0.372574647583228,0.391409428152943
153_1,0.175047265437581,0.176868779209786
154_1,0.628108933176024,0.738286738161423
155_1,0.449566846427374,0.484157271982347
156_1,0.494826441641316,0.54243166819439
157_1,0.734763763916919,0.939002819096496
158_1,0.587103303126525,0.673234189353691
159_1,0.201170864148023,0.203952502395367
16_1,0.806605318014203,1.11723588160866
160_1,0.435124682862339,0.466200991135128
161_1,0.251498794413378,0.257012166514744
162_1,0.798653223042988,1.09488238720627
163_1,0.38662096337911,0.407821014776998
164_1,0.61196455323546,0.712056120212896
165_1,0.0405796968799544,0.0406019932687552
166_1,0.538327388536642,0.601797493567565
167_1,0.58944560762355,0.676816068551874
168_1,0.787056906880688,1.06365019900879
169_1,0.37241236933851,0.391221006078286
17_1,0.414308560101918,0.440801471360001
170_1,0.300293313840156,0.309841958286177
171_1,0.430148055110442,0.460078335827909
172_1,0.539427013797902,0.603347110346255
173_1,0.700377890283385,0.86804187368587
174_1,0.780353605463751,1.04627416130522
175_1,0.801118980941395,1.10172832753904
176_1,0.316530780223065,0.327786868551186
177_1,0.35733960125787,0.373832726956987
179_1,0.51412798944154,0.568324865623687
18_1,0.474449133478464,0.515796374065498
180_1,0.113464229621182,0.113954943545175
181_1,0.546914108012722,0.613967806419632
182_1,0.759508872273231,0.995053400664725
183_1,0.513802925373411,0.567883106145146
184_1,0.463122640874084,0.501279269472765
185_1,0.382573735621958,0.403071207752444
186_1,0.38212170478149,0.402541779965549
187_1,0.37324799948707,0.392191543266189
188_1,0.460276938152079,0.497662610401854
189_1,0.547660833535298,0.615033831814483
19_1,0.633610992720596,0.747426273071505
191_1,0.124760483983261,0.1254139036776
192_1,0.144862004554412,0.145888267294976
194_1,0.658775666313571,0.790647463891452
195_1,0.248465152548517,0.253776309614913
196_1,0.794722765628691,1.08412220628499
197_1,0.33589347679536,0.349456527428829
198_1,0.249309856381955,0.25467679401296
20_1,0.428948126292864,0.458606911956854
200_1,0.135061211699739,0.13589156000857
201_1,0.477835514263709,0.52017558044575
202_1,0.55618337568459,0.627290039834673
203_1,0.735132952139556,0.939805662508881
204_1,0.771078087942311,1.02298138968022
205_1,0.802051047421108,1.10433579188666
206_1,0.607384477305518,0.70476638472907
207_1,0.613461450528962,0.71445275821078
208_1,0.383110419978386,0.403700062092853
209_1,0.306077404217283,0.316211577704074
21_1,0.513551297947393,0.567541284130951
211_1,0.784264282207504,1.0563536562979
212_1,0.660824792916503,0.794276406117938
213_1,0.645251307347643,0.767119395593336
214_1,0.0867373906294671,0.0869558971280829
215_1,0.56478934678036,0.639838158535345
216_1,0.66842079699537,0.807883061649624
217_1,0.547001161216346,0.614092019554593
218_1,0.593128714549155,0.682479111639329
219_1,0.484357504886498,0.528661807270694
22_1,0.47343024448153,0.514482324562914
220_1,0.664854882317785,0.801464807855641
221_1,0.384252816051683,0.405039663215656
223_1,0.801492641852867,1.10277233876624
224_1,0.123025579615742,0.123651953820629
225_1,0.347983013847149,0.363147038210145
226_1,0.73493902340206,0.939383823431681
227_1,0.475920976815464,0.517697492214732
228_1,0.385602867476752,0.406624546292183
229_1,0.36929965072458,0.387611908401352
23_1,0.524815304765001,0.582962504772338
230_1,0.761298743859355,0.999296971396708
231_1,0.60870928286653,0.706868321502159
232_1,0.481236314722241,0.52459195668971
233_1,0.560631487731885,0.633753660762911
234_1,0.441983571307279,0.474693260369826
235_1,0.141187025025267,0.142136537767101
236_1,0.679932229889874,0.828987988633513
237_1,0.860830293699147,1.29654198224887
239_1,0.534522005291392,0.596454695549925
24_1,0.454551916694636,0.490422771536549
240_1,0.490785031368482,0.537093932131611
242_1,0.701204804135289,0.869666806155656
243_1,0.477571028487426,0.519832893320816
244_1,0.578421870769156,0.660087845329952
246_1,0.205046225392795,0.207994619347566
247_1,0.283899027901149,0.291917831474556
248_1,0.629851594882638,0.741170111719297
249_1,0.587175030394172,0.673343651912068
25_1,0.496708298523439,0.544926791322454
250_1,0.541330474707883,0.606035652381904
251_1,0.588519680853549,0.675398325673831
252_1,0.549842844107705,0.618156028381258
253_1,0.629831512367466,0.741136823922322
254_1,0.416370448633143,0.443293202299893
255_1,0.477652583341699,0.519938549794271
256_1,0.556938733848851,0.628384381711373
257_1,0.616137863764777,0.718755539637034
259_1,0.332267534432897,0.345375044970947
26_1,0.677126974269592,0.823789168671863
260_1,0.764786728517078,1.00764624377976
261_1,0.366060988390614,0.383866966477302
262_1,-0.0150404688568346,-0.0150416031408752
263_1,0.476205486534239,0.518065378226941
264_1,0.649247013158708,0.773995936270203
266_1,0.577095243299042,0.658096494076336
267_1,0.666389822585199,0.804220802322336
268_1,0.672221130787873,0.814784419181893
269_1,0.49795378469436,0.546581567223145
27_1,0.475336504804269,0.516942143024269
271_1,0.481305138472809,0.52468152680619
272_1,0.387023103214901,0.408293915343265
273_1,0.618954032468313,0.723307771595078
274_1,0.60446816394848,0.700158169476064
275_1,0.713175003002221,0.893615695796876
276_1,0.692595247930202,0.852926494888971
277_1,0.572652403996027,0.651460588959455
278_1,0.704682662495824,0.876541876085539
279_1,0.601974655341346,0.696238311781737
28_1,0.455966267406348,0.492206903560196
280_1,0.375886232603726,0.395260331992386
281_1,0.423451424525861,0.451890093362856
282_1,0.24414213199623,0.249174083785294
283_1,0.595986042234804,0.686898803108247
284_1,0.504119156383093,0.554813532234731
285_1,0.480239315291565,0.523295284640561
286_1,0.831565776128685,1.19319059228832
287_1,0.496420387980395,0.544544655094633
288_1,0.413520791120161,0.439850834002104
289_1,0.605349946365052,0.701548807428412
29_1,0.537160589046638,0.600156035445249
290_1,0.511774182408419,0.565130577769358
291_1,0.713054747068356,0.893371008172766
292_1,0.573076599340811,0.652091995315957
293_1,0.242011088648337,0.246909216900053
294_1,-0.137152744583247,-0.138022570938392
295_1,0.67230382918144,0.81493531126929
297_1,0.610534084496954,0.70977238966207
298_1,0.38237075291676,0.402833443731938
299_1,0.653022042179434,0.780549588292807
3_1,0.625517817642275,0.734018738168797
30_1,0.569506761628302,0.646792533561796
300_1,0.38341604381378,0.40405830908637
301_1,0.453685582544095,0.489331362733868
302_1,0.270901480928882,0.277836444755436
303_1,0.659292475688895,0.791561080873864
305_1,0.333662504622835,0.346943953714973
306_1,0.843555045762016,1.23337342930288
307_1,0.18948897404926,0.19180705766496
308_1,0.578334145299496,0.659956022258516
309_1,0.0146666717053927,0.0146677234965522
31_1,0.46667069024571,0.505805599631614
310_1,0.705016348346252,0.877205020731616
311_1,-0.0335586599964786,-0.0335712662539406
312_1,0.609732630847742,0.708495655114483
313_1,0.4747061478993,0.516128101434313
314_1,0.612470592976599,0.712865538291639
315_1,0.472904783243301,0.513805281905834
316_1,-0.0721431638152247,-0.0722687157582607
317_1,0.265452656464784,0.271965358997411
318_1,0.562371809118644,0.636295332736372
319_1,0.849576938228577,1.25463023693747
32_1,0.432982765579348,0.46356185093754
320_1,0.164202915198492,0.165703038388273
321_1,0.365612673177775,0.383349379125987
322_1,0.808907977843852,1.12386175580542
323_1,0.732517508031736,0.934138361525435
325_1,0.48279361396448,0.526620585190863
326_1,0.626937594635352,0.73635451906617
327_1,-0.055279247906263,-0.0553356587247616
329_1,0.503133187669015,0.553492496715965
33_1,0.0503304988505553,0.0503730619480681
330_1,0.697806968372409,0.863013343943432
331_1,0.443751767020487,0.476892870685144
332_1,0.49919698188132,0.548236025983396
333_1,0.209948096417863,0.213117049054285
334_1,0.686252946168894,0.840838527235171
335_1,0.580870104072591,0.663774893598982
336_1,0.480335535268228,0.523420355453685
337_1,0.654694577612595,0.783471208924477
338_1,0.202402549596416,0.205236468401054
339_1,0.207454237896131,0.210509619260972
34_1,0.231872673164823,0.236167639746333
340_1,0.418178678320176,0.445482656629887
341_1,0.376768198636736,0.396287812102017
342_1,0.291821161835209,0.300555798527435
343_1,0.591076472017038,0.679318963573367
344_1,0.632769957113122,0.746022370086899
345_1,0.309749537217613,0.320268341842803
347_1,0.738860559290895,0.947965403234173
