rowname,lbound,estimate,ubound,sample,facet
VA11,0.1757,0.2554,0.3388,Germine et al. 2015,e-b
VC11,0,0,0,Germine et al. 2015,e-b
VE11,0.6677,0.7449,0.8335,Germine et al. 2015,e-b
SA11,0.1784,0.2553,0.3286,Germine et al. 2015,e-b
SC11,0,0,0,Germine et al. 2015,e-b
SE11,0.6714,0.7447,0.8216,Germine et al. 2015,e-b
VA21,0.1031,0.1648,0.2292,Germine et al. 2015,e-b
VA22,0.3291,0.4105,0.4977,Germine et al. 2015,e-b
VC21,0,0,0,Germine et al. 2015,e-b
VC22,0,0,0,Germine et al. 2015,e-b
VE21,0.2001,0.2543,0.3142,Germine et al. 2015,e-b
VE22,0.5299,0.5934,0.6664,Germine et al. 2015,e-b
SA21,0.2601,0.3933,0.5163,Germine et al. 2015,e-b
SA22,0.3384,0.4089,0.4743,Germine et al. 2015,e-b
SC21,0,0,0,Germine et al. 2015,e-b
SC22,0,0,0,Germine et al. 2015,e-b
SE21,0.4837,0.6067,0.7399,Germine et al. 2015,e-b
SE22,0.5257,0.5911,0.6616,Germine et al. 2015,e-b
VA31,0.1054,0.1722,0.2423,Germine et al. 2015,e-b
VA32,0.1313,0.1962,0.2646,Germine et al. 2015,e-b
VA33,0.2459,0.3331,0.4256,Germine et al. 2015,e-b
VC31,0,0,0,Germine et al. 2015,e-b
VC32,0,0,0,Germine et al. 2015,e-b
VC33,0,0,0,Germine et al. 2015,e-b
VE31,0.3155,0.3782,0.4484,Germine et al. 2015,e-b
VE32,0.1942,0.2485,0.3084,Germine et al. 2015,e-b
VE33,0.6042,0.6807,0.7691,Germine et al. 2015,e-b
SA31,0.1979,0.3128,0.4203,Germine et al. 2015,e-b
SA32,0.3118,0.4412,0.5588,Germine et al. 2015,e-b
SA33,0.2487,0.3286,0.4038,Germine et al. 2015,e-b
SC31,0,0,0,Germine et al. 2015,e-b
SC32,0,0,0,Germine et al. 2015,e-b
SC33,0,0,0,Germine et al. 2015,e-b
SE31,0.5797,0.6872,0.8021,Germine et al. 2015,e-b
SE32,0.4412,0.5588,0.6882,Germine et al. 2015,e-b
SE33,0.5962,0.6714,0.7513,Germine et al. 2015,e-b
