Item,Value,FamId,is_repeated
sc001,1,00002,1
sc015,8,00002,1
sc065,8,00002,1
sc004,9,00002,1
sc188,6,00002,1
sc108,1,00002,1
sc050,9,00002,2
sc088,2,00002,2
sc164,3,00002,2
sc151,9,00002,1
sc020,1,00002,1
sc194,9,00002,1
sc161,9,00002,1
sc115,9,00002,1
sc085,1,00002,1
sc162,1,00002,1
sc120,1,00002,1
sc142,1,00002,1
sc001,1,00002,2
sc013,9,00002,1
sc108,1,00002,2
sc075,7,00002,1
sc188,1,00002,2
sc189,9,00002,1
sc122,1,00002,1
sc051,1,00002,2
sc089,3,00002,2
sc165,9,00002,2
sc103,9,00002,1
sc170,1,00002,1
sc048,1,00002,2
sc080,7,00002,2
sc050,9,00002,1
sc088,4,00002,1
sc164,4,00002,1
sc047,9,00002,1
sc025,4,00002,1
sc013,9,00002,2
sc143,9,00002,1
sc079,2,00002,1
sc198,1,00002,1
sc021,9,00002,1
sc103,9,00002,2
sc053,9,00002,2
sc170,1,00002,2
sc046,NA,00002,2
sc047,NA,00002,2
sc049,NA,00002,2
sc032,NA,00002,2
sc055,NA,00002,2
sc051,1,00002,1
sc089,3,00002,1
sc165,9,00002,1
sc015,NA,00002,2
sc048,1,00002,1
sc025,1,00002,2
sc149,1,00002,1
sc080,6,00002,1
sc198,1,00002,2
sc074,NA,00002,2
sc184,NA,00002,2
sc065,9,00002,2
sc020,NA,00002,2
sc194,NA,00002,2
sc161,NA,00002,2
sc115,NA,00002,2
sc053,9,00002,1
sc162,NA,00002,2
sc079,2,00002,2
sc120,NA,00002,2
sc142,NA,00002,2
sc034,NA,00002,2
sc116,1,00002,1
sc034,6,00002,1
sc046,1,00002,1
sc074,1,00002,1
sc075,9,00002,2
sc032,7,00002,1
sc122,1,00002,2
sc176,9,00002,1
sc189,9,00002,2
sc085,NA,00002,2
sc002,NA,00002,2
sc002,9,00002,1
sc008,NA,00002,2
sc116,NA,00002,2
sc008,9,00002,1
sc146,7,00002,1
sc151,NA,00002,2
sc184,1,00002,1
sc049,7,00002,1
sc176,NA,00002,2
sc082,NA,00002,2
sc021,NA,00002,2
sc082,3,00002,1
sc146,NA,00002,2
sc143,9,00002,2
sc004,NA,00002,2
sc149,1,00002,2
sc055,1,00002,1
sc074,3,00003,1
sc001,2,00003,1
sc049,8,00003,1
sc164,3,00003,2
sc046,3,00003,1
sc184,1,00003,1
sc176,6,00003,1
sc151,8,00003,1
sc002,8,00003,1
sc116,1,00003,1
sc055,1,00003,1
sc021,4,00003,1
sc080,7,00003,2
sc015,7,00003,1
sc020,1,00003,1
sc164,4,00003,1
