Domain,Component,Value,CI_low,CI_high,Repeatable,Error,mBi
FA,Obj,0.36172107271840453,0.3331570406806314,0.3331570406806314,0.8432121871245745,0.15678781287542554,0.55722604643553
FA,Sub,0.24593482733828634,0.24775460508905067,0.24775460508905067,0.8432121871245745,0.15678781287542554,0.55722604643553
FA,Block,5.794366133872468e-4,1.908656773549418e-5,1.908656773549418e-5,0.8432121871245745,0.15678781287542554,0.55722604643553
FA,SubXObj,0.21598452341481308,0.2313039882963125,0.2313039882963125,0.8432121871245745,0.15678781287542554,0.55722604643553
FA,SubXBlock,0.007940442584583464,0.00877425143748814,0.00877425143748814,0.8432121871245745,0.15678781287542554,0.55722604643553
FA,ObjxBlock,0.011631321068486997,0.014440157035868172,0.014440157035868172,0.8432121871245745,0.15678781287542554,0.55722604643553
FA,Residual,0.15620837626203826,0.16455087089291373,0.16455087089291373,0.8432121871245745,0.15678781287542554,0.55722604643553
SC,Obj,0.6100479049933272,0.5715424960521545,0.5715424960521545,0.914633825518073,0.08536617448192696,0.3254936072664376
SC,Sub,0.07850266309465148,0.09478315990491028,0.09478315990491028,0.914633825518073,0.08536617448192696,0.3254936072664376
SC,Block,1.6198116322844327e-4,8.504347488926625e-4,8.504347488926625e-4,0.914633825518073,0.08536617448192696,0.3254936072664376
SC,SubXObj,0.21577360029254905,0.23132272962045855,0.23132272962045855,0.914633825518073,0.08536617448192696,0.3254936072664376
SC,SubXBlock,0.0034311998085785594,0.00392792282562005,0.00392792282562005,0.914633825518073,0.08536617448192696,0.3254936072664376
SC,ObjxBlock,0.0068784573289668305,0.007157644177531736,0.007157644177531736,0.914633825518073,0.08536617448192696,0.3254936072664376
SC,Residual,0.08520419331869862,0.09041561267043224,0.09041561267043224,0.914633825518073,0.08536617448192696,0.3254936072664376
