Domain,Pairs,pairwise.r
faces val.,MZ,0.816
faces val.,MZ,0.707
faces val.,MZ,0.53
faces val.,MZ,0.674
faces val.,MZ,0.459
faces val.,MZ,0.702
faces val.,MZ,0.737
faces val.,MZ,0.678
faces val.,MZ,0.578
faces val.,DZ,0.716
faces val.,MZ,0.648
faces val.,MZ,0.628
faces val.,MZ,0.675
faces val.,MZ,0.612
faces val.,MZ,0.681
faces val.,DZ,0.584
faces val.,DZ,0.735
faces val.,DZ,0.55
faces val.,MZ,0.79
faces val.,MZ,0.595
faces val.,MZ,0.786
faces val.,MZ,0.526
faces val.,MZ,0.737
faces val.,MZ,0.667
faces val.,MZ,0.62
faces val.,MZ,0.752
faces val.,MZ,0.701
faces val.,MZ,0.672
faces val.,DZ,0.48
faces val.,DZ,0.657
faces val.,DZ,0.53
faces val.,DZ,0.639
faces val.,MZ,0.71
faces val.,MZ,0.777
faces val.,MZ,0.378
faces val.,DZ,0.642
faces val.,DZ,0.373
faces val.,DZ,0.665
faces val.,MZ,0.537
faces val.,MZ,0.633
faces val.,MZ,0.736
faces val.,DZ,0.629
faces val.,DZ,0.629
faces val.,DZ,0.744
faces val.,MZ,0.719
faces val.,MZ,0.633
faces val.,MZ,0.743
faces val.,MZ,0.752
faces val.,DZ,0.837
faces val.,DZ,0.416
faces val.,DZ,0.802
faces val.,DZ,0.594
faces val.,DZ,0.734
faces val.,MZ,0.702
faces val.,MZ,0.643
faces val.,MZ,0.581
faces val.,DZ,0.585
faces val.,DZ,0.713
faces val.,MZ,0.775
faces val.,MZ,0.491
faces val.,MZ,0.666
faces val.,MZ,0.66
faces val.,MZ,0.605
faces val.,MZ,0.646
faces val.,DZ,0.372
faces val.,DZ,0.698
faces val.,DZ,0.604
faces val.,DZ,0.616
faces val.,MZ,0.7
faces val.,DZ,0.447
faces val.,MZ,0.615
faces val.,MZ,0.837
faces val.,MZ,0.765
faces val.,DZ,0.516
faces val.,DZ,0.681
faces val.,MZ,0.809
faces val.,MZ,0.734
faces val.,MZ,0.772
faces val.,MZ,0.446
