refCode,Pairs,Domain,r_twin_PP,z_twin_PP
00002_TW,MZ,faces val.,0.8156995753953076,1.1438294724369031
00003_TW,MZ,faces val.,0.7067190773923692,0.8805986041959044
00005_TW,MZ,faces val.,0.5298416221604488,0.5899249410164253
00007_TW,MZ,faces val.,0.6740648890966129,0.8181558489768138
00010_TW,MZ,faces val.,0.4586654355267017,0.49561985254587304
00012_TW,MZ,faces val.,0.702098438988703,0.871427022473805
00014_TW,MZ,faces val.,0.7369830417797292,0.9438432466165935
00015_TW,MZ,faces val.,0.6779175837512138,0.8252506530905693
00016_TW,MZ,faces val.,0.5780962449782846,0.659598635969192
00017_TW,DZ,faces val.,0.7164072103628073,0.9002245920240739
00029_TW,MZ,faces val.,0.6481913349828237,0.7721731712669471
00048_TW,MZ,faces val.,0.6281826536971603,0.738408503143041
00051_TW,MZ,faces val.,0.6751586414751862,0.8201631077810445
00058_TW,MZ,faces val.,0.6123066783969638,0.7126032666350073
00078_TW,MZ,faces val.,0.6808320066694136,0.8306633014215721
00113_TW,DZ,faces val.,0.5844619682131285,0.6692130168832997
00128_TW,DZ,faces val.,0.7350318194291141,0.939585643240976
00138_TW,DZ,faces val.,0.5499021526418786,0.6182410414456151
00150_TW,MZ,faces val.,0.789672138410324,1.0705600801267832
00173_TW,MZ,faces val.,0.5945995401457673,0.6847512716733402
00186_TW,MZ,faces val.,0.786179492728439,1.0613486721143661
00194_TW,MZ,faces val.,0.5263572253300739,0.5850929397174287
00256_TW,MZ,faces val.,0.73676734934567,0.943371287337373
00264_TW,MZ,faces val.,0.6672895428491364,0.8058409724686261
00286_TW,MZ,faces val.,0.6203596924026545,0.7255895952159808
00296_TW,MZ,faces val.,0.7522341852332699,0.978081462596187
00307_TW,MZ,faces val.,0.700776281864634,0.8688242737036618
00310_TW,MZ,faces val.,0.6718505249891095,0.8141085848224154
00313_TW,DZ,faces val.,0.4797215065048543,0.5226224725727208
00352_TW,DZ,faces val.,0.6566779961452489,0.7869504377944223
00359_TW,DZ,faces val.,0.5299424041965358,0.5900650689515337
00364_TW,DZ,faces val.,0.6391776165505505,0.7567820585380425
00379_TW,MZ,faces val.,0.7097810188253811,0.8867424183005062
00394_TW,MZ,faces val.,0.7768871418691947,1.0374702909705313
00407_TW,MZ,faces val.,0.3780698876796293,0.39780572011169124
00467_TW,DZ,faces val.,0.6422656942053449,0.7620207699881438
00473_TW,DZ,faces val.,0.37322024460442715,0.3921592962552925
00500_TW,DZ,faces val.,0.6647525547812198,0.8012814370079999
00545_TW,MZ,faces val.,0.5369659298025448,0.5998824697438162
00550_TW,MZ,faces val.,0.6334301505173094,0.7471241905571693
00561_TW,MZ,faces val.,0.7358258039039335,0.941314913781628
00613_TW,DZ,faces val.,0.6292760702776032,0.7402167028053448
00617_TW,DZ,faces val.,0.6286367710729092,0.7391589848761172
00621_TW,DZ,faces val.,0.7436874242876151,0.9586798303347097
00630_TW,MZ,faces val.,0.7194775505632336,0.9065610092953968
00679_TW,MZ,faces val.,0.6325540390226068,0.7456623498630697
00681_TW,MZ,faces val.,0.7430841514927565,0.9573313652399239
00684_TW,MZ,faces val.,0.7517931051378457,0.9770662610014695
00698_TW,DZ,faces val.,0.8365781339101978,1.2096622082462127
00711_TW,DZ,faces val.,0.4161351974740383,0.4430086473173316
00726_TW,DZ,faces val.,0.8017663049065006,1.103538065141573
00728_TW,DZ,faces val.,0.5943063345950759,0.6842978322900003
00729_TW,DZ,faces val.,0.7344144468488546,0.9382440589692712
00773_TW,MZ,faces val.,0.7024858799281367,0.8721915289877487
00777_TW,MZ,faces val.,0.6429897031164071,0.7632541133597226
00791_TW,MZ,faces val.,0.5811054561195167,0.6641301670766085
00842_TW,DZ,faces val.,0.5848094825727401,0.6697409928963199
00870_TW,DZ,faces val.,0.7131537377245828,0.8935724206124824
00934_TW,MZ,faces val.,0.7753592341651685,1.0336277684404243
01013_TW,MZ,faces val.,0.4912326939790026,0.5376838076871155
01014_TW,MZ,faces val.,0.666268206893026,0.8040020712814011
01023_TW,MZ,faces val.,0.6601547174632801,0.7930878088091189
01040_TW,MZ,faces val.,0.6046898376679248,0.7005075457301444
01045_TW,MZ,faces val.,0.646341097167538,0.7689888451980151
01077_TW,DZ,faces val.,0.3718150481398268,0.39052768109787295
01086_TW,DZ,faces val.,0.6982077529413463,0.8637949269712663
01092_TW,DZ,faces val.,0.6043444080720773,0.6999631840750192
01105_TW,DZ,faces val.,0.6164359147431663,0.7192361194024683
01153_TW,MZ,faces val.,0.7000443402087054,0.8673874745714788
01291_TW,DZ,faces val.,0.4468960525972581,0.4808149668574355
01314_TW,MZ,faces val.,0.6151498281587173,0.7171644548560646
01319_TW,MZ,faces val.,0.8367999893787508,1.2104018463657922
01357_TW,MZ,faces val.,0.7652508008393389,1.00876517471953
01392_TW,DZ,faces val.,0.5162597412623369,0.5712268888240574
01403_TW,DZ,faces val.,0.6814237578450479,0.8317671816064187
01445_TW,MZ,faces val.,0.808691681502794,1.1232363377260834
01495_TW,MZ,faces val.,0.7338699042106537,0.9370629284920672
01519_TW,MZ,faces val.,0.7723677490480279,1.0261701253008229
01544_TW,MZ,faces val.,0.44554073193251226,0.4791226962261257
01569_TW,MZ,faces val.,0.7482073953820734,0.968870222653049
01587_TW,MZ,faces val.,0.7080887079002651,0.883340173887558
01612_TW,DZ,faces val.,0.5279225536262868,0.5872606151082332
01614_TW,DZ,faces val.,0.7156630280693442,0.8986974172457561
01662_TW,DZ,faces val.,0.6685846652685706,0.8081793318751745
01673_TW,DZ,faces val.,0.5235936472252024,0.5812779463310249
01682_TW,DZ,faces val.,0.7189490158631467,0.9054661273369988
01698_TW,MZ,faces val.,0.4704686482417452,0.5106720319419255
01730_TW,MZ,faces val.,0.6318691493983506,0.744521453494853
01732_TW,MZ,faces val.,0.7101515030879684,0.8874894409205556
01734_TW,MZ,faces val.,0.7749248382684109,1.0325394789068094
01740_TW,MZ,faces val.,0.6814787600191518,0.8318698696031499
01748_TW,MZ,faces val.,0.6610602383318828,0.7946944889318157
01753_TW,MZ,faces val.,0.6608606798067438,0.7943401159107327
01754_TW,MZ,faces val.,0.6753945353270477,0.8205967349823867
01880_TW,DZ,faces val.,0.666785836967207,0.8049334934410723
01882_TW,DZ,faces val.,0.5420689710720131,0.6070808502654301
01898_TW,DZ,faces val.,0.5781099799534695,0.6596192653494535
01937_TW,MZ,faces val.,0.6128712034522655,0.7135068902949775
01989_TW,MZ,faces val.,0.6393374436974338,0.7570523336718087
01999_TW,MZ,faces val.,0.4671101424295625,0.506367549384885
02000_TW,MZ,faces val.,0.6364755315031929,0.7522267668941128
02009_TW,DZ,faces val.,0.6006442876519412,0.6941544887905815
02036_TW,DZ,faces val.,0.6174680769049602,0.7209025906265497
02063_TW,DZ,faces val.,0.605646371919837,0.7020168192379743
02068_TW,DZ,faces val.,0.47991469893231103,0.5228734453017595
02089_TW,DZ,faces val.,0.6261222315681773,0.7350122694134503
02132_TW,DZ,faces val.,0.5605356313509022,0.6336138766867173
02135_TW,DZ,faces val.,0.7170229681431929,0.9014907514391972
02138_TW,DZ,faces val.,0.7586403803476816,0.9930041296641048
02152_TW,MZ,faces val.,0.7003083501126822,0.8679053918258823
02160_TW,MZ,faces val.,0.4724037326150804,0.5131600952224776
02182_TW,MZ,faces val.,0.7023690929280837,0.8719609960039042
02210_TW,MZ,faces val.,0.7209840686617964,0.909691328691498
02211_TW,MZ,faces val.,0.6496638577679198,0.774716861804884
02228_TW,MZ,faces val.,0.5892240187210609,0.6764765646808457
02243_TW,MZ,faces val.,0.4504617586662736,0.48527943729260814
02247_TW,MZ,faces val.,0.7534554999580076,0.9809005933375684
02255_TW,MZ,faces val.,0.6304419883092975,0.7421493434674405
02270_TW,MZ,faces val.,0.5971934404000826,0.6887734112634881
02294_TW,MZ,faces val.,0.6181708089767396,0.7220391476637825
02295_TW,MZ,faces val.,0.7132300015900421,0.8937276312036155
02296_TW,MZ,faces val.,0.7721947247125591,1.0257414033180134
02303_TW,MZ,faces val.,0.5667537412879509,0.6427273919373522
02308_TW,MZ,faces val.,0.7555693153906576,0.9858083546687763
02312_TW,MZ,faces val.,0.7624027543812578,1.001928181718754
02330_TW,MZ,faces val.,0.4528620559508935,0.48829488406217053
02337_TW,MZ,faces val.,0.8281041236925192,1.1820728938194374
02342_TW,MZ,faces val.,0.6595485105374321,0.7920141079258406
02349_TW,MZ,faces val.,0.640437537627984,0.7589151832491078
02351_TW,MZ,faces val.,0.7843024981776766,1.056452944459924
02362_TW,MZ,faces val.,0.765716911205535,1.0098909517744568
02363_TW,MZ,faces val.,0.7030155726039626,0.8732380602106151
02380_TW,MZ,faces val.,0.6949223646149919,0.857412964857798
02385_TW,MZ,faces val.,0.6547263851978721,0.7835268794456719
02387_TW,MZ,faces val.,0.6180098919903778,0.7217787491529631
02394_TW,MZ,faces val.,0.6843041791307547,0.8371643248083667
02397_TW,MZ,faces val.,0.777243786874364,1.0383705250503121
02398_TW,MZ,faces val.,0.7959041665665886,1.0873371163986647
02410_TW,MZ,faces val.,0.7157978921053308,0.8989739310207271
02425_TW,MZ,faces val.,0.7060739897583242,0.8793110138029143
02433_TW,MZ,faces val.,0.6912716575701263,0.850387122777946
02438_TW,MZ,faces val.,0.6729274432409962,0.8160741491983874
02471_TW,MZ,faces val.,0.6384090907848037,0.755483747823605
02477_TW,MZ,faces val.,0.7328420519691915,0.9348390475090694
02479_TW,MZ,faces val.,0.735679117047903,0.9409951034657524
02494_TW,MZ,faces val.,0.2702995496409183,0.2771869547721895
02509_TW,DZ,faces val.,0.8050176721634347,1.1127083667067743
02519_TW,DZ,faces val.,0.6843806091254281,0.8373080778998155
02550_TW,DZ,faces val.,0.5311296358798151,0.5917173724754738
02556_TW,DZ,faces val.,0.5654982347465188,0.6408797028738062
02571_TW,MZ,faces val.,0.5250993734561298,0.5833546374844348
02581_TW,MZ,faces val.,0.7804186016213369,1.0464403929387298
02587_TW,MZ,faces val.,0.723466832861775,0.9148811872295488
02588_TW,MZ,faces val.,0.8441053501485591,1.235284538074727
02604_TW,MZ,faces val.,0.5745492884777534,0.6542876197835812
02615_TW,MZ,faces val.,0.5866320863799444,0.6725154178029963
02618_TW,MZ,faces val.,0.6726026677740078,0.8154808296957267
02626_TW,MZ,faces val.,0.7380280182414118,0.9461344342364651
02627_TW,MZ,faces val.,0.7460255789582662,0.9639319144691095
02630_TW,MZ,faces val.,0.672964760597867,0.816142353159341
02640_TW,MZ,faces val.,0.5896155783391336,0.6770765785662598
02642_TW,MZ,faces val.,0.6767126049933385,0.8230243386091595
02650_TW,MZ,faces val.,0.7782427268555914,1.040898752024372
02651_TW,MZ,faces val.,0.5343401562455458,0.5962001417030666
02660_TW,MZ,faces val.,0.5252095999138527,0.583506839245328
02662_TW,MZ,faces val.,0.5255701340767303,0.5840048383663426
02665_TW,MZ,faces val.,0.3765037919330299,0.39597969796522503
02666_TW,MZ,faces val.,0.5520292019905785,0.6212952345029668
02667_TW,MZ,faces val.,0.4995322767977758,0.5486827077141412
02678_TW,MZ,faces val.,0.7593664964082659,0.9947170169970796
02687_TW,MZ,faces val.,0.8076056804714505,1.1201057032826258
02700_TW,MZ,faces val.,0.3507416931923727,0.3662892390015368
02704_TW,MZ,faces val.,0.5810194877797948,0.6640003773718686
02715_TW,DZ,faces val.,0.558426405651511,0.630543589527191
02720_TW,DZ,faces val.,0.625649422198513,0.7342349636011473
02724_TW,DZ,faces val.,0.7213944312486347,0.9105464538558886
02732_TW,DZ,faces val.,0.6711937341191757,0.8129123705447031
02747_TW,DZ,faces val.,0.649206749599023,0.77392633687599
02748_TW,DZ,faces val.,0.5983517651559916,0.6905757813179594
02752_TW,DZ,faces val.,0.8340674817544768,1.201355128938113
02761_TW,DZ,faces val.,0.4663715132564515,0.5054231954487203
02766_TW,DZ,faces val.,0.384658091154428,0.4055152299431562
02781_TW,DZ,faces val.,0.6882420125006107,0.8446079157460072
02782_TW,DZ,faces val.,0.5700533202764262,0.6476018296845627
02783_TW,DZ,faces val.,0.7438505094775143,0.959044831175094
02794_TW,DZ,faces val.,0.7315271411897303,0.9320046071717878
02800_TW,DZ,faces val.,0.745464823380115,0.9626685643050159
02806_TW,DZ,faces val.,0.5717076271417988,0.6500559456738937
02826_TW,DZ,faces val.,0.6721506915689879,0.8146559194096354
02828_TW,DZ,faces val.,0.500507710348691,0.5499833207754431
02829_TW,DZ,faces val.,0.6677304080307861,0.8066361402839874
02834_TW,DZ,faces val.,0.7229063642361401,0.913706203062919
02840_TW,DZ,faces val.,0.5484649431190824,0.6161831723503833
02847_TW,DZ,faces val.,0.43913247556886115,0.471155513850575
02855_TW,DZ,faces val.,0.4222301683196509,0.45040294268892117
02857_TW,MZ,faces val.,0.6510331232310818,0.7770897487592853
02861_TW,MZ,faces val.,0.7447787399575994,0.9611260873171559
02868_TW,MZ,faces val.,0.7870102350826758,1.0635275650709803
02872_TW,MZ,faces val.,0.6685647845234859,0.8081433816702202
02878_TW,MZ,faces val.,0.7194684273427489,0.9065420955243106
02899_TW,MZ,faces val.,0.7426627430433035,0.9563910130433091
02910_TW,MZ,faces val.,0.5561723952531107,0.6272741415148763
02912_TW,MZ,faces val.,0.7407779780526059,0.9522012420101962
02919_TW,MZ,faces val.,0.6877935415746657,0.8437563317470125
02921_TW,MZ,faces val.,0.752535289352774,0.9787753833423265
02924_TW,MZ,faces val.,0.4649580432074245,0.5036183569299126
02926_TW,MZ,faces val.,0.6347203744667428,0.7492819431414344
02933_TW,MZ,faces val.,0.6695415386444002,0.8099116864099098
02938_TW,MZ,faces val.,0.5475549253310863,0.6148825615238034
02940_TW,MZ,faces val.,0.7761525679737682,1.0356200562412863
02941_TW,MZ,faces val.,0.6598280330562741,0.7925090032836313
02942_TW,MZ,faces val.,0.7429936265818807,0.9571292525268956
02945_TW,MZ,faces val.,0.6224962359235567,0.7290702944744558
02947_TW,MZ,faces val.,0.745973762004015,0.9638150739585954
02954_TW,MZ,faces val.,0.7921022028812643,1.0770490129140295
02960_TW,MZ,faces val.,0.866714113302704,1.3197193301163994
02971_TW,MZ,faces val.,0.5151046772346124,0.5696533855737843
02976_TW,MZ,faces val.,0.7447634207134736,0.9610916864808371
02981_TW,MZ,faces val.,0.7338570320913437,0.937035033215778
02982_TW,MZ,faces val.,0.6683384451369546,0.807734215598096
02987_TW,MZ,faces val.,0.7103508447218353,0.8878917098094794
02988_TW,MZ,faces val.,0.7656142672518965,1.0096428734284804
03004_TW,MZ,faces val.,0.73354736423833,0.9363642934046166
03013_TW,MZ,faces val.,0.6962842026603404,0.8600514938363268
03026_TW,MZ,faces val.,0.7174043532771864,0.9022761336440288
03031_TW,MZ,faces val.,0.6600951012090182,0.7929821502742997
03035_TW,MZ,faces val.,0.7288309470252213,0.9262291338990145
03040_TW,MZ,faces val.,0.660393590973723,0.7935113148516268
03043_TW,MZ,faces val.,0.6450331133858731,0.7667456423666
03046_TW,MZ,faces val.,0.8018333482669874,1.1037258001245434
03051_TW,MZ,faces val.,0.5165514321371655,0.571624653490944
03061_TW,MZ,faces val.,0.9073687362466711,1.5124266200220793
03069_TW,MZ,faces val.,0.669524448761828,0.8098807110781616
03074_TW,MZ,faces val.,0.5221917096556471,0.579348451854825
