Sub,mm2_r,mm2_z
00002-A,0.395584076942606,0.418402862247291
00003-A,0.220055040658551,0.223713949878289
00005-A,0.400413197972074,0.424140929387223
00007-A,0.644567695189642,0.765949010374312
00010-A,-0.0460615498437081,-0.0460941671227236
00012-A,0.16553412524838,0.167071444160804
00014-A,0.742570455281928,0.956185252672466
00015-A,0.402943171977672,0.427157638226882
00016-A,0.674160781914847,0.818331614666823
00017-A,0.509600042925006,0.562189362698815
00028-A,0.0600330193761395,0.060105294662305
00029-A,0.53536768741506,0.59763939996865
00048-A,0.559928637444868,0.632729226291487
00051-A,0.652259296785418,0.77922090236864
00058-A,-0.0293492461258354,-0.0293576774178543
00078-A,0.51274209121118,0.566442833832647
00113-A,0.411062552737889,0.436889153326664
00128-A,0.715897924804345,0.899179100305231
00138-A,0.129877998861941,0.130615753629227
00150-A,0.497519377004484,0.546004095744026
00173-A,0.217645523382162,0.221183220730011
00186-A,0.74325595664368,0.957715117351012
00188-A,0.403599557520584,0.427941501827706
00194-A,0.568020565888072,0.644595667967938
00198-A,0.389881335962486,0.411660091605856
00239-A,0.489771930116405,0.535760249290643
00256-A,0.735781930547274,0.941219244226235
00264-A,0.20930876912913501,0.212448335747664
00286-A,0.28313472481716,0.291086722265828
00296-A,0.406273912477436,0.431140394672458
00307-A,0.528460086790576,0.588006139137954
00310-A,0.215666498113962,0.219106724265788
00313-A,0.369134297908147,0.387420456657728
00352-A,0.359504589111321,0.37631684161608
00359-A,0.403253522040125,0.427528200285114
00360-A,0.351326966694456,0.366956768982588
00364-A,0.637078451016968,0.753240903735085
00379-A,0.552800395001596,0.622405123835877
00394-A,0.34965085616299,0.365045924937438
00407-A,0.458146164532888,0.494962434377969
00422-A,0.399845645810926,0.423465188709907
00430-A,0.524202541380748,0.582117186004655
00450-A,0.0823486470294238,0.0825355517124213
00467-A,0.595702370441046,0.686458981189144
00473-A,0.49104789212519,0.537440256776349
00478-A,0.236603900343069,0.2411735400406
00500-A,0.333623978060918,0.346900601251666
00505-A,0.522566897452724,0.579864443551923
00545-A,0.225549495939608,0.229495419830114
00550-A,0.429864541334411,0.459730506525375
00561-A,0.588776847168808,0.675791851289179
00613-A,0.392473767956917,0.414720889465864
00617-A,0.292213906286844,0.300985156129978
00621-A,0.719761843990151,0.907150649297855
00630-A,0.584484935699059,0.66924790115947
00679-A,0.643538425367508,0.764190162016647
00681-A,0.632395540678983,0.74539817522825
00684-A,-0.0293314938149404,-0.0293399098115851
00698-A,0.251021352652675,0.25650255194614
00711-A,-0.227105991814917,-0.231135951087565
00714-A,0.186863946247613,0.189085662431361
00726-A,0.471827098155921,0.512418068091505
00728-A,0.500391191404637,0.549827868983695
00729-A,0.679803878946248,0.828749320253396
00773-A,0.421081671237695,0.449006094490583
00777-A,0.243429539282154,0.248416464558478
00791-A,0.737653669629802,0.945312756990295
00826-A,0.718239928778465,0.903999925568998
00842-A,0.547283575238099,0.614495102381956
00858-A,-0.0170260010497285,-0.0170276465284063
00870-A,0.520255119468567,0.57668948889931
00904-A,0.66345120939556,0.798953315998805
00934-A,0.443513457881953,0.476596167401848
01013-A,0.585720921168194,0.671127286289368
01014-A,0.507935148970375,0.5599430120699
01023-A,0.472777944513281,0.513641918571761
01026-A,0.649899890046866,0.775125375166223
01027-A,0.467682692704815,0.507100141301176
01040-A,0.672741624163849,0.815734625676255
01045-A,0.566121854672511,0.641796981335744
01065-A,0.662331998640396,0.796956772853913
01077-A,0.540922298271584,0.605458465289171
01086-A,0.378269397420248,0.398038523612736
