rowname,lbound,estimate,ubound,sample,facet
VA11,0.2143,0.3255,0.4397,Sutherland et al. 2020,t-t
VC11,0,0,0,Sutherland et al. 2020,t-t
VE11,0.5858,0.68,0.7926,Sutherland et al. 2020,t-t
SA11,0.2175,0.3237,0.4201,Sutherland et al. 2020,t-t
SC11,0,0,0,Sutherland et al. 2020,t-t
SE11,0.5799,0.6763,0.7825,Sutherland et al. 2020,t-t
VA21,0.0382,0.12,0.2028,Sutherland et al. 2020,t-t
VA22,0.1897,0.2999,0.4131,Sutherland et al. 2020,t-t
VC21,0,0,0,Sutherland et al. 2020,t-t
VC22,0,0,0,Sutherland et al. 2020,t-t
VE21,0.0856,0.1585,0.2386,Sutherland et al. 2020,t-t
VE22,0.6084,0.7046,0.8187,Sutherland et al. 2020,t-t
SA21,0.1492,0.4308,0.6825,Sutherland et al. 2020,t-t
SA22,0.1923,0.2985,0.3958,Sutherland et al. 2020,t-t
SC21,0,0,0,Sutherland et al. 2020,t-t
SC22,0,0,0,Sutherland et al. 2020,t-t
SE21,0.5345,0.5692,0.8513,Sutherland et al. 2020,t-t
SE22,0.6042,0.7015,0.8077,Sutherland et al. 2020,t-t
