Domain,Component,Value,CI_low,CI_high,Repeatable,Error,mBi
Faces,Obj,0.39,0.332,0.435,0.847,0.153,0.525
Faces,Sub,0.213,0.19,0.241,0.847,0.153,0.525
Faces,Block,0,0,0.002,0.847,0.153,0.525
Faces,SubXObj,0.226,0.208,0.245,0.847,0.153,0.525
Faces,SubXBlock,0.005,0.004,0.006,0.847,0.153,0.525
Faces,ObjxBlock,0.013,0.009,0.017,0.847,0.153,0.525
Faces,Residual,0.153,0.142,0.166,0.847,0.153,0.525
Scenes,Obj,0.574,0.476,0.662,0.929,0.071,0.379
Scenes,Sub,0.103,0.079,0.13,0.929,0.071,0.379
Scenes,Block,0.001,0,0.003,0.929,0.071,0.379
Scenes,SubXObj,0.245,0.196,0.302,0.929,0.071,0.379
Scenes,SubXBlock,0.004,0.003,0.005,0.929,0.071,0.379
Scenes,ObjxBlock,0.003,0.001,0.007,0.929,0.071,0.379
Scenes,Residual,0.071,0.056,0.088,0.929,0.071,0.379
Abstract,Obj,0.161,0.118,0.203,0.857,0.143,0.806
Abstract,Sub,0.245,0.222,0.268,0.857,0.143,0.806
Abstract,Block,0.007,0,0.028,0.857,0.143,0.806
Abstract,SubXObj,0.432,0.409,0.462,0.857,0.143,0.806
Abstract,SubXBlock,0.013,0.011,0.016,0.857,0.143,0.806
Abstract,ObjxBlock,0.006,0.002,0.011,0.857,0.143,0.806
Abstract,Residual,0.136,0.129,0.147,0.857,0.143,0.806
Faces val.,Obj,0.369,0.303,0.418,0.846,0.154,0.55
Faces val.,Sub,0.227,0.2,0.255,0.846,0.154,0.55
Faces val.,Block,0,0,0.003,0.846,0.154,0.55
Faces val.,SubXObj,0.23,0.21,0.256,0.846,0.154,0.55
Faces val.,SubXBlock,0.008,0.006,0.009,0.846,0.154,0.55
Faces val.,ObjxBlock,0.012,0.007,0.017,0.846,0.154,0.55
Faces val.,Residual,0.154,0.14,0.17,0.846,0.154,0.55
Scenes val.,Obj,0.617,0.501,0.695,0.917,0.083,0.32
Scenes val.,Sub,0.079,0.062,0.107,0.917,0.083,0.32
Scenes val.,Block,0,0,0.003,0.917,0.083,0.32
Scenes val.,SubXObj,0.21,0.166,0.271,0.917,0.083,0.32
Scenes val.,SubXBlock,0.004,0.003,0.006,0.917,0.083,0.32
Scenes val.,ObjxBlock,0.007,0.003,0.011,0.917,0.083,0.32
Scenes val.,Residual,0.083,0.065,0.108,0.917,0.083,0.32
